AAR,BYDEL,ALDERSKAT,IETYPE,SOC_GRUPPE,SOCSTIL,PERSONER
2013,2,1,3,3,400,1032
2013,2,2,1,1,115,4
2013,2,2,1,1,116,52
2013,2,2,1,1,118,8
2013,2,2,1,1,120,1
2013,2,2,1,1,131,21
2013,2,2,1,1,132,531
2013,2,2,1,1,133,318
2013,2,2,1,1,134,3414
2013,2,2,1,1,135,489
2013,2,2,1,1,136,295
2013,2,2,1,2,201,31
2013,2,2,1,2,202,31
2013,2,2,1,3,309,42
2013,2,2,1,3,311,12
2013,2,2,1,3,312,42
2013,2,2,1,3,316,3
2013,2,2,1,3,322,3
2013,2,2,1,3,323,6
2013,2,2,1,3,331,27
2013,2,2,1,3,333,28
2013,2,2,1,3,340,99
2013,2,2,1,3,350,2202
2013,2,2,1,3,360,449
2013,2,2,2,1,115,1
2013,2,2,2,1,116,6
2013,2,2,2,1,131,2
2013,2,2,2,1,132,51
2013,2,2,2,1,133,28
2013,2,2,2,1,134,144
2013,2,2,2,1,135,52
2013,2,2,2,1,136,51
2013,2,2,2,2,201,3
2013,2,2,2,2,202,4
2013,2,2,2,3,309,3
2013,2,2,2,3,311,1
2013,2,2,2,3,312,3
2013,2,2,2,3,316,1
2013,2,2,2,3,323,1
2013,2,2,2,3,340,12
2013,2,2,2,3,350,302
2013,2,2,2,3,360,467
2013,2,2,3,1,115,1
2013,2,2,3,1,116,6
2013,2,2,3,1,132,9
2013,2,2,3,1,133,15
2013,2,2,3,1,134,160
2013,2,2,3,1,135,14
2013,2,2,3,1,136,18
2013,2,2,3,2,201,2
2013,2,2,3,2,202,4
2013,2,2,3,3,309,8
2013,2,2,3,3,311,1
2013,2,2,3,3,312,2
2013,2,2,3,3,322,1
2013,2,2,3,3,331,1
2013,2,2,3,3,340,12
2013,2,2,3,3,350,144
2013,2,2,3,3,360,65
2013,2,3,1,1,115,12
2013,2,3,1,1,116,135
2013,2,3,1,1,118,29
2013,2,3,1,1,131,51
2013,2,3,1,1,132,2152
2013,2,3,1,1,133,716
2013,2,3,1,1,134,2071
2013,2,3,1,1,135,188
2013,2,3,1,1,136,155
2013,2,3,1,2,201,158
2013,2,3,1,2,202,16
2013,2,3,1,3,309,61
2013,2,3,1,3,311,10
2013,2,3,1,3,312,25
2013,2,3,1,3,315,2
2013,2,3,1,3,316,6
2013,2,3,1,3,322,29
2013,2,3,1,3,323,21
2013,2,3,1,3,331,23
2013,2,3,1,3,340,84
2013,2,3,1,3,350,813
2013,2,3,1,3,360,194
2013,2,3,2,1,115,3
2013,2,3,2,1,116,17
2013,2,3,2,1,118,7
2013,2,3,2,1,120,1
2013,2,3,2,1,131,6
2013,2,3,2,1,132,377
2013,2,3,2,1,133,92
2013,2,3,2,1,134,215
2013,2,3,2,1,135,77
2013,2,3,2,1,136,101
2013,2,3,2,2,201,31
2013,2,3,2,2,202,3
2013,2,3,2,3,309,9
2013,2,3,2,3,312,6
2013,2,3,2,3,316,4
2013,2,3,2,3,322,3
2013,2,3,2,3,323,3
2013,2,3,2,3,331,4
2013,2,3,2,3,340,28
2013,2,3,2,3,350,166
2013,2,3,2,3,360,569
2013,2,3,3,1,115,2
2013,2,3,3,1,116,6
2013,2,3,3,1,118,1
2013,2,3,3,1,131,4
2013,2,3,3,1,132,31
2013,2,3,3,1,133,17
2013,2,3,3,1,134,59
2013,2,3,3,1,135,8
2013,2,3,3,1,136,7
2013,2,3,3,2,201,12
2013,2,3,3,2,202,5
2013,2,3,3,3,309,8
2013,2,3,3,3,322,1
2013,2,3,3,3,340,10
2013,2,3,3,3,350,18
2013,2,3,3,3,360,21
2013,2,4,1,1,115,210
2013,2,4,1,1,116,1201
2013,2,4,1,1,118,146
2013,2,4,1,1,120,7
2013,2,4,1,1,131,1070
2013,2,4,1,1,132,9761
2013,2,4,1,1,133,2774
2013,2,4,1,1,134,4544
2013,2,4,1,1,135,541
2013,2,4,1,1,136,873
2013,2,4,1,2,201,817
2013,2,4,1,2,202,104
2013,2,4,1,3,309,250
2013,2,4,1,3,311,50
2013,2,4,1,3,312,87
2013,2,4,1,3,315,9
2013,2,4,1,3,316,44
2013,2,4,1,3,319,73
2013,2,4,1,3,322,70
2013,2,4,1,3,323,211
2013,2,4,1,3,331,652
2013,2,4,1,3,333,44
2013,2,4,1,3,340,494
2013,2,4,1,3,350,342
2013,2,4,1,3,360,916
2013,2,4,2,1,115,48
2013,2,4,2,1,116,214
2013,2,4,2,1,118,41
2013,2,4,2,1,120,9
2013,2,4,2,1,131,107
2013,2,4,2,1,132,1225
2013,2,4,2,1,133,298
2013,2,4,2,1,134,730
2013,2,4,2,1,135,318
2013,2,4,2,1,136,347
2013,2,4,2,2,201,178
2013,2,4,2,2,202,45
2013,2,4,2,3,309,82
2013,2,4,2,3,311,9
2013,2,4,2,3,312,18
