AAR,BYDEL,HUSTYP,INDKOMKAT_BRUTTO,HUSTANDE
2007,4,4,1,7
2007,4,5,1,4
2007,4,6,1,2
2007,4,7,1,1
2007,4,8,1,12
2007,5,1,1,66
2007,5,2,1,4
2007,5,4,1,7
2007,5,5,1,2
2007,5,6,1,3
2007,5,7,1,2
2007,5,8,1,7
2007,6,1,1,51
2007,6,2,1,7
2007,6,4,1,5
2007,6,5,1,1
2007,6,6,1,2
2007,6,8,1,11
2007,7,1,1,45
2007,7,2,1,6
2007,7,4,1,6
2007,7,5,1,1
2007,7,6,1,2
2007,7,8,1,3
2007,8,1,1,116
2007,8,2,1,5
2007,8,4,1,11
2007,8,5,1,2
2007,8,6,1,3
2007,8,7,1,1
2007,8,8,1,13
2007,9,1,1,89
2007,9,2,1,3
2007,9,4,1,16
2007,9,5,1,1
2007,9,6,1,1
2007,9,7,1,1
2007,9,8,1,10
2007,10,1,1,116
2007,10,2,1,6
2007,10,4,1,18
2007,10,5,1,4
2007,10,6,1,1
2007,10,7,1,1
2007,10,8,1,22
2006,1,1,1,179
2006,1,2,1,22
2006,1,4,1,25
2006,1,5,1,8
2006,1,6,1,5
2006,1,7,1,3
2006,1,8,1,37
2006,2,1,1,158
2006,2,2,1,12
2006,2,4,1,20
2006,2,5,1,7
2006,2,6,1,13
2006,2,7,1,2
2006,2,8,1,22
2006,3,1,1,183
2006,3,2,1,10
2006,3,4,1,11
2006,3,6,1,3
2006,3,7,1,3
2006,3,8,1,29
2006,4,1,1,91
2006,4,2,1,5
2006,4,4,1,16
2006,4,6,1,3
2006,4,7,1,1
2006,4,8,1,12
2006,5,1,1,89
2006,5,2,1,3
2006,5,4,1,3
2006,5,5,1,1
2006,5,6,1,4
2006,5,7,1,1
2006,5,8,1,7
2006,6,1,1,56
2006,6,2,1,3
2006,6,4,1,5
2006,6,5,1,2
2006,6,6,1,3
2006,6,8,1,7
2006,7,1,1,65
2006,7,2,1,3
2006,7,4,1,4
2006,7,5,1,1
2006,7,6,1,1
2006,7,7,1,2
2006,7,8,1,2
2006,8,1,1,107
2006,8,2,1,6
2006,8,4,1,8
2006,8,5,1,5
2006,8,7,1,2
2006,8,8,1,14
2006,9,1,1,80
2006,9,2,1,8
2006,9,4,1,15
2006,9,5,1,3
2006,9,6,1,2
2006,9,7,1,1
2006,9,8,1,14
2006,10,1,1,99
2006,10,2,1,5
2006,10,4,1,13
2006,10,5,1,3
2006,10,6,1,3
2006,10,8,1,15
2005,1,1,1,253
2005,1,2,1,25
2005,1,4,1,30
2005,1,5,1,8
2005,1,6,1,8
2005,1,7,1,2
2005,1,8,1,47
2005,2,1,1,220
2005,2,2,1,20
2005,2,4,1,34
2005,2,5,1,18
2005,2,6,1,8
2005,2,7,1,2
2005,2,8,1,23
2005,3,1,1,262
2005,3,2,1,17
2005,3,4,1,23
2005,3,5,1,4
2005,3,6,1,7
2005,3,7,1,6
2005,3,8,1,27
2005,4,1,1,170
2005,4,2,1,12
2005,4,4,1,15
2005,4,5,1,1
2005,4,6,1,2
2005,4,8,1,21
2005,5,1,1,129
2005,5,2,1,11
2005,5,4,1,6
2005,5,5,1,1
2005,5,6,1,7
2005,5,7,1,3
2005,5,8,1,6
2005,6,1,1,87
2005,6,4,1,5
2005,6,5,1,2
2005,6,6,1,3
2005,6,8,1,5
2005,7,1,1,84
2005,7,2,1,10
2005,7,4,1,7
2005,7,5,1,2
2005,7,6,1,3
2005,7,7,1,2
2005,7,8,1,11
2005,8,1,1,164
2005,8,2,1,13
2005,8,4,1,12
2005,8,5,1,5
2005,8,7,1,6
2005,8,8,1,10
2005,9,1,1,155
2005,9,2,1,17
2005,9,4,1,26
2005,9,5,1,3
2005,9,6,1,3
2005,9,7,1,3
2005,9,8,1,26
2005,10,1,1,153
2005,10,2,1,11
2005,10,4,1,9
2005,10,5,1,3
2005,10,6,1,4
2005,10,7,1,4
2005,10,8,1,13
2004,1,1,1,211
2004,1,2,1,10
2004,1,4,1,16
2004,1,5,1,2
2004,1,6,1,5
2004,1,7,1,3
2004,1,8,1,25
2004,2,1,1,226
2004,2,2,1,14
2004,2,4,1,16
2004,2,5,1,7
2004,2,6,1,4
2004,2,7,1,3
2004,2,8,1,17
2004,3,1,1,209
2004,3,2,1,11
2004,3,4,1,13
2004,3,5,1,7
2004,3,6,1,6
2004,3,7,1,4
2004,3,8,1,24
2004,4,1,1,136
2004,4,2,1,12
2004,4,4,1,14
2004,4,5,1,2
2004,4,6,1,4
2004,4,7,1,3
2004,4,8,1,21
2004,5,1,1,100
2004,5,2,1,10
2004,5,4,1,7
2004,5,5,1,4
2004,5,6,1,5
2004,5,7,1,2
2004,5,8,1,8
2004,6,1,1,72
2004,6,2,1,1
2004,6,4,1,7
2004,6,5,1,1
2004,6,6,1,1
2004,6,7,1,2
2004,6,8,1,8
2004,7,1,1,75
2004,7,2,1,6
2004,7,4,1,5
2004,7,5,1,2
2004,7,6,1,3
2004,7,7,1,3
2004,7,8,1,11
2004,8,1,1,125
2004,8,2,1,6
2004,8,4,1,10
2004,8,6,1,1
2004,8,8,1,12
2004,9,1,1,116
2004,9,2,1,15
2004,9,4,1,9
2004,9,5,1,4
2004,9,6,1,1
2004,9,8,1,15
2004,10,1,1,125
2004,10,2,1,10
2004,10,4,1,11
2004,10,5,1,4
2004,10,6,1,1
2004,10,8,1,16
2003,1,1,1,193
2003,1,2,1,9
2003,1,4,1,18
2003,1,5,1,5
2003,1,6,1,7
2003,1,7,1,1
2003,1,8,1,14
2003,2,1,1,198
2003,2,2,1,13
2003,2,4,1,17
2003,2,5,1,7
2003,2,6,1,4
2003,2,7,1,5
2003,2,8,1,16
2003,3,1,1,194
2003,3,2,1,7
2003,3,4,1,17
2003,3,5,1,5
2003,3,6,1,4
2003,3,7,1,3
2003,3,8,1,19
2003,4,1,1,137
2003,4,2,1,7
2003,4,4,1,6
2003,4,5,1,3
2003,4,7,1,1
2003,4,8,1,20
2003,5,1,1,100
2003,5,2,1,8
2003,5,4,1,4
2003,5,5,1,2
2003,5,7,1,5
2003,5,8,1,5
2003,6,1,1,53
2003,6,2,1,2
2003,6,4,1,5
2003,6,5,1,1
2003,6,6,1,1
2003,6,8,1,4
2003,7,1,1,91
2003,7,2,1,3
2003,7,4,1,6
2003,7,5,1,1
2003,7,7,1,2
2003,7,8,1,11
2003,8,1,1,111
2003,8,2,1,4
2003,8,4,1,11
2003,8,6,1,2
2003,8,7,1,1
2003,8,8,1,10
2003,9,1,1,101
2003,9,2,1,11
2003,9,4,1,12
2003,9,5,1,3
2003,9,6,1,2
2003,9,8,1,15
2003,10,1,1,114
2003,10,2,1,13
2003,10,4,1,4
2003,10,5,1,4
2003,10,6,1,2
2003,10,7,1,1
2003,10,8,1,9
